X XX X XX X XX X XX X XX X XX XXX XX X XX X XX X XX X XX X XX X

e 00 X 00 0 00 0 00 0 00 0 00 000 00 0 00 0 00 0 00 X 00 0 0B X
e 00 X 00 0 00 0 00 0 00 0 0F 0F0 F0 0 00 0 00 0 00 X 00 0 00 X

X 00 X 00 X 00 0 00 0 00 F 00 000 00 F 00 0 00 0 00 X 00 X 00 X

X 00 X 00 X 00 0 00 0 F0 0 00 000 00 0 0F 0 00 0 00 X 00 X 00 X
X 00 X 00 X 00 0 00 0 XX 0 00 000 00 X X0 0 00 0 00 X 00 X 00 X

X 00 X 00 X 00 0 0F 0 XX 0 00 000 00 X X0 0 F0 0 00 X 00 X 00 X

X 00 X 00 X 00 0 00 0 00 0 00 F0F 00 0 00 0 00 0 00 X 00 X 00 X
X 00 X 00 X 00 0 F0 0 00 0 F0 000 0F 0 00 0 0F 0 00 X 00 X 00 X

X 00 X 00 X 00 0 00 0 00 0 00 000 00 0 00 0 00 0 00 X 00 X 00 X

X 00 X 00 X 00 0 F0 0 00 F 00 000 00 F 00 0 0F 0 00 X 00 X 00 X
X 00 X 00 X 00 0 00 0 00 0 00 000 00 0 00 0 00 0 00 X 00 X 00 X

X 00 X 00 X 00 0 F0 0 00 F 00 000 00 F 00 0 0F 0 00 X 00 X 00 X

X 00 X 00 X 00 0 00 0 00 0 00 000 00 0 00 0 00 0 00 X 00 X 00 X
X 00 X 00 X 00 0 F0 0 00 0 F0 000 0F 0 00 0 0F 0 00 X 00 X 00 X

X 00 X 00 X 00 0 00 0 XX 0 00 F0F 00 X X0 0 00 0 00 X 00 X 00 X

X 00 X 00 X 00 0 0F 0 XX 0 00 000 00 X X0 0 F0 0 00 X 00 X 00 X
X 00 X 00 X 00 0 00 0 00 0 00 000 00 0 00 0 00 0 00 X 00 X 00 X

X 00 X 00 X 00 0 00 0 F0 0 00 000 00 0 0F 0 00 0 00 X 00 X 00 X



X 00 0 00 X 00 0 00 0 00 F 00 000 00 F 00 0 00 0 00 0 00 X 00 E
X 00 0 00 X 00 0 00 0 00 0 0F 0F0 F0 0 00 0 00 0 00 0 00 X 00 E

X XX X XX X XX X XX X XX X XX XXX XX X XX X XX X XX X XX X XX X
